name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Dennis Bermudez,"5' 6""","66""",Orthodox,13-Dec-86,http://ufcstats.com/fighter-details/6f242453c91a5af0,4.42,46,3.07,59,3.89,40,82,1.1,0
Te Edwards,"5' 8""","72""",Orthodox,11-Sep-90,http://ufcstats.com/fighter-details/ef44e4ea9050f2ea,1.5,41,4.15,44,0.72,100,44,0,0
Chad Mendes,"5' 6""","66""",Orthodox,01-May-85,http://ufcstats.com/fighter-details/b5b684eac99ae0a3,2.78,49,2.35,67,4.13,55,100,0.3,0
Cat Zingano,"5' 6""","68""",Southpaw,01-Jul-82,http://ufcstats.com/fighter-details/3ecd936bd8814108,2.57,61,1.63,47,2.77,65,42,0.8,0
Adam Milstead,"6' 3""","76""",Orthodox,03-Jul-87,http://ufcstats.com/fighter-details/72ffecf712673af1,3.85,46,4.79,43,0,0,64,0,0
Chris de la Rocha,"6' 3""","80""",Orthodox,15-May-79,http://ufcstats.com/fighter-details/e51ee8ded927fc51,4.08,45,6.37,43,2.02,30,33,1,0
Matthew Lopez,"5' 7""","69""",Southpaw,21-Jan-87,http://ufcstats.com/fighter-details/2fc7e9701642ca38,3.13,50,3.73,55,3.32,60,71,1.3,0
Chad Laprise,"5' 10""","71""",Orthodox,23-Jul-86,http://ufcstats.com/fighter-details/c03a5022f8439f2a,4.78,42,3.59,65,1.05,54,78,0,0
Mark Hunt,"5' 10""","72""",Orthodox,23-Mar-74,http://ufcstats.com/fighter-details/eef9b891edbd4604,2.81,43,2.9,51,0.51,55,64,0.2,0
Yushin Okami,"6' 2""","75""",Southpaw,21-Jul-81,http://ufcstats.com/fighter-details/acff437707625fc7,2.06,38,2.25,60,1.98,39,84,0.5,0
Ben Nguyen,"5' 5""","65""",Switch,03-Aug-88,http://ufcstats.com/fighter-details/840d2c82ea68b9aa,3.51,40,3.01,59,0.25,33,63,1,0
Elias Garcia,"5' 5""","67""",Southpaw,13-Sep-92,http://ufcstats.com/fighter-details/ac5a7400da3a9a41,1.59,27,5.05,50,0.68,14,33,1.4,0
Mizuto Hirota,"5' 7""","67""",Orthodox,05-May-81,http://ufcstats.com/fighter-details/35faad160d346839,3.36,40,3.5,54,1.36,50,58,0.1,0
Alex Gorgees,"6' 2""","74""",Switch,11-Aug-95,http://ufcstats.com/fighter-details/803bebcfb6d6f506,0.67,32,2.27,38,0,0,54,0,0
Justin Frazier,"6' 0""","75""",Southpaw,15-Jun-89,http://ufcstats.com/fighter-details/78863e4a28204a6b,1.11,66,6.11,4,0,0,0,0,0
Bryan Caraway,"5' 8""","68""",Orthodox,04-Aug-84,http://ufcstats.com/fighter-details/5ef0088c1b19beeb,2.53,34,3.61,54,2.57,25,80,0.8,0
Michel Batista,"6' 3""",--,Orthodox,20-Apr-84,http://ufcstats.com/fighter-details/34218661c44ed55d,0,0,4.03,40,6.72,50,0,0,0
Darrell Horcher,"5' 10""","70""",Southpaw,28-Jul-87,http://ufcstats.com/fighter-details/18e8b7070228e728,2.05,44,4.21,39,0.35,50,47,0.7,0
Ricky Rainey,"6' 1""","77""",Switch,29-Jun-83,http://ufcstats.com/fighter-details/9b1e3fb4f8cbd5b7,2.55,48,2.62,46,0.95,18,55,0,0
Rashad Coulter,"5' 11""","76""",Orthodox,27-Nov-81,http://ufcstats.com/fighter-details/d1528ac5675558b1,4.82,56,6.68,50,0,0,62,0,0
Yuta Sasaki,"5' 10""","71""",Southpaw,07-Oct-89,http://ufcstats.com/fighter-details/7c3c48cf54a2848e,2.16,41,2.5,50,3.03,43,41,1.2,0
Devin Powell,"6' 0""","73""",Orthodox,01-Mar-88,http://ufcstats.com/fighter-details/065eb44700e641a4,2.88,41,3.67,51,0,0,0,0.6,0
Amanda Cooper,"5' 3""","64""",Switch,22-Oct-91,http://ufcstats.com/fighter-details/d4a31850a7457f1b,3.55,44,3.2,51,1.53,38,28,1.8,0
John Gunther,"5' 9""","72""",Orthodox,24-Nov-85,http://ufcstats.com/fighter-details/3956bdc8ab2e54b3,1.65,37,3.72,46,7.08,42,0,0,0
Joseph Morales,"5' 6""","69""",Switch,22-Aug-94,http://ufcstats.com/fighter-details/2fe9032955c2e013,1.58,37,1.72,60,0.53,50,23,2.6,0
Joby Sanchez,"5' 6""","68""",Orthodox,24-Jun-91,http://ufcstats.com/fighter-details/b12fc8a41e82d3a2,3.22,36,2.82,63,0.95,71,51,0.4,0
Jason Knight,"5' 10""","71""",Orthodox,14-Jul-92,http://ufcstats.com/fighter-details/bb1a2cdad6ff34db,2.95,33,3.02,51,1.31,31,47,1.7,0
Adam Wieczorek,"6' 5""","81""",Orthodox,05-Feb-92,http://ufcstats.com/fighter-details/efa1f6b42c86793c,1.68,38,1.87,48,0.41,33,58,0.4,0
Artem Lobov,"5' 9""","65""",Southpaw,11-Aug-86,http://ufcstats.com/fighter-details/02f2a9702ba3d167,3.52,41,4.82,50,0.39,25,52,0,0
Alex Garcia,"5' 9""","72""",Orthodox,14-Jul-87,http://ufcstats.com/fighter-details/a2b12c3f3d60ff69,1.81,31,3.03,59,3.72,52,66,0.1,0
Thibault Gouti,"5' 10""","72""",Orthodox,27-Feb-87,http://ufcstats.com/fighter-details/51e86de150ee8be6,3.68,34,5.64,50,1.23,80,83,0.3,0
Gray Maynard,"5' 9""","70""",Orthodox,09-May-79,http://ufcstats.com/fighter-details/7d96bc577e5178b2,1.92,32,2.64,66,2.91,47,81,0.7,0
Ryan LaFlare,"6' 1""","74""",Southpaw,01-Oct-83,http://ufcstats.com/fighter-details/4c7781da8c6cae93,2.89,40,1.86,63,2.13,44,58,0.2,0
Luis Henrique,"6' 2""","74""",Orthodox,21-Aug-93,http://ufcstats.com/fighter-details/e5bda12faabfc850,1.81,43,2.22,47,3.09,36,50,1,0
Thales Leites,"6' 1""","78""",Orthodox,06-Sep-81,http://ufcstats.com/fighter-details/cfb65863d5099327,2.13,40,2.99,52,2.1,27,30,1.1,0
Hector Lombard,"5' 9""","71""",Southpaw,02-Feb-78,http://ufcstats.com/fighter-details/db1f2ed63b54b9a7,3.02,46,3.35,53,1.69,48,77,0.5,0
Alex Chambers,"5' 3""","63""",Southpaw,25-Oct-78,http://ufcstats.com/fighter-details/26b63bc5c0c1f65d,2.97,54,5.1,50,2.31,41,53,1,0
Khalid Murtazaliev,"6' 0""","76""",Orthodox,15-Jul-93,http://ufcstats.com/fighter-details/231cae8b77fbbcc1,4.8,69,0.4,78,7.5,100,33,0,0
CB Dollaway,"6' 2""","76""",Orthodox,10-Aug-83,http://ufcstats.com/fighter-details/5d7bdab5e03e3216,2.65,47,2.58,54,3.55,54,62,1.2,0
Kajan Johnson,"5' 11""","75""",Orthodox,21-Apr-84,http://ufcstats.com/fighter-details/633a45d131192ffe,2.47,42,1.59,64,1.54,37,62,0.2,0
Jordan Johnson,"6' 2""","79""",Orthodox,18-Nov-88,http://ufcstats.com/fighter-details/99bcdf5eac39898f,3.45,47,2.64,53,3.25,42,100,1.2,0
Adam Yandiev,"5' 9""","74""",Orthodox,07-Aug-88,http://ufcstats.com/fighter-details/0a95c474e61a6c44,0.18,8,6.14,36,0,0,25,0,0
Terrion Ware,"5' 8""","71""",Orthodox,31-Mar-86,http://ufcstats.com/fighter-details/ba5e253af86db1a8,4.02,32,6.07,50,0.5,22,44,0,0
Craig White,"6' 2""","76""",Orthodox,01-Jul-90,http://ufcstats.com/fighter-details/3dd949593346dbc3,1.23,40,3.28,39,0,0,50,0.8,0
Jarred Brooks,"5' 3""","62""",Switch,02-May-93,http://ufcstats.com/fighter-details/81d9df19e255b8b6,2.12,46,1.66,62,4.54,57,69,0.6,0
Robert Sanchez,"5' 6""","66""",Orthodox,05-Mar-86,http://ufcstats.com/fighter-details/546f8599a63c29da,0.96,40,1.78,46,3.61,62,50,0.7,0
Jake Ellenberger,"5' 9""","71""",Orthodox,28-Mar-85,http://ufcstats.com/fighter-details/d81ac739417d7f53,2.47,39,2.83,60,2.04,47,86,0.4,0
John Moraga,"5' 6""","66""",Orthodox,20-Mar-84,http://ufcstats.com/fighter-details/92437c6775b3f7d1,2.57,43,2.55,56,0.62,23,44,1.1,0
Tim Williams,"6' 2""","76""",Orthodox,03-Jul-86,http://ufcstats.com/fighter-details/990bd63726a577f8,3.07,38,3.55,48,1.81,40,100,0,0
Iuri Alcantara,"5' 9""","71""",Southpaw,04-Aug-80,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,2.72,45,2.79,49,1.44,62,60,0.8,0
George Sullivan,"6' 0""","73""",Orthodox,13-Mar-81,http://ufcstats.com/fighter-details/6c7e25571490aa3b,3.53,39,2.42,57,1.37,20,38,0.7,0
Kalindra Faria,"5' 7""",--,Switch,23-Jul-86,http://ufcstats.com/fighter-details/27b164b0d1833df0,2.23,56,1.44,45,1.31,66,20,0.7,0
Jon Tuck,"5' 11""","73""",Orthodox,28-Aug-84,http://ufcstats.com/fighter-details/53ec9cb470e1a4ea,3,40,3.74,60,0.42,33,50,1,0
Demetrious Johnson,"5' 3""","66""",Orthodox,13-Aug-86,http://ufcstats.com/fighter-details/8a304bfd6bf04a57,3.43,54,1.66,67,3.35,56,65,0.5,0
Jose Torres,"5' 4""","65""",Orthodox,02-Aug-92,http://ufcstats.com/fighter-details/d2036f31c035e0d1,4.37,36,9.84,50,1.28,33,75,0,0
Danielle Taylor,"5' 0""","60""",Orthodox,25-Oct-89,http://ufcstats.com/fighter-details/b76c6268dc1d3c05,2.75,29,3.31,71,0.2,20,70,0.2,0
Eddie Alvarez,"5' 9""","69""",Orthodox,11-Jan-84,http://ufcstats.com/fighter-details/33a331684283900f,4.32,41,4.39,55,2.92,36,92,0.5,0
Jordan Mein,"6' 0""","73""",Orthodox,10-Oct-89,http://ufcstats.com/fighter-details/2aa49b3766a59bcd,3.35,44,2.55,69,1.56,58,66,0.2,0
Alvaro Herrera Mendoza,"6' 0""","74""",Orthodox,14-May-90,http://ufcstats.com/fighter-details/74d35fbc9c6a61bd,1.89,38,3.4,55,0,0,33,1.1,0
Vitor Miranda,"6' 1""","77""",Orthodox,10-Mar-79,http://ufcstats.com/fighter-details/4bcb6eb12b4ad4aa,2.98,45,2.95,58,0.95,55,50,0.2,0
Jeremy Kimball,"6' 0""","72""",Switch,03-Jan-91,http://ufcstats.com/fighter-details/917a5cb9821df261,2.81,46,3.84,49,1.41,20,50,0,0
Damian Stasiak,"5' 5""","70""",Orthodox,20-Feb-90,http://ufcstats.com/fighter-details/42a7e90605df3c8a,1.86,36,3.1,52,2.64,35,43,0.6,0
Sage Northcutt,"6' 0""","71""",Orthodox,01-Mar-96,http://ufcstats.com/fighter-details/ed9d8ee3a4239b1c,3.58,52,1.96,58,1.81,34,41,0.6,0
Justin Scoggins,"5' 7""","66""",Southpaw,02-May-92,http://ufcstats.com/fighter-details/9fa568ad2bf2cb0b,3.56,51,2.16,55,3.42,63,82,0.5,0
Gokhan Saki,"6' 0""","73""",Orthodox,19-Oct-83,http://ufcstats.com/fighter-details/4690d47bf725fd98,7.09,58,4.57,53,0,0,100,0,0
Jamie Moyle,"5' 1""","65""",Orthodox,17-Mar-89,http://ufcstats.com/fighter-details/882d62561063a927,4.51,51,4,65,1,21,50,0,0
Joe Giannetti,"6' 0""","74""",Southpaw,05-Jul-95,http://ufcstats.com/fighter-details/946db8a378903cc3,1.93,38,2.8,40,1,16,0,0,0
Jay Cucciniello,"5' 7""",--,Orthodox,23-Jul-86,http://ufcstats.com/fighter-details/683ea28a198936fe,0.93,21,4.73,36,0,0,71,0,0
Barb Honchak,"5' 4""","65""",Orthodox,30-Aug-79,http://ufcstats.com/fighter-details/472f6f6e6d962f40,4.04,30,4.67,66,0,0,0,1.3,0
Richie Smullen,"5' 9""","68""",Orthodox,17-Aug-91,http://ufcstats.com/fighter-details/f75c5ca0d91b9115,1.98,77,2.26,65,8.49,66,0,0,0
Allan Zuniga,"5' 7""","70""",Orthodox,04-Apr-92,http://ufcstats.com/fighter-details/523af801b3429015,3.93,52,1.8,61,0,0,57,1,0
Tyler Diamond,"5' 7""","69""",Orthodox,18-Mar-91,http://ufcstats.com/fighter-details/f5f6419c5f00abad,3.4,47,2.53,44,3,75,70,0,0
Matt Bessette,"5' 10""","70""",Orthodox,28-Dec-84,http://ufcstats.com/fighter-details/0b8d512c79b4baf3,4.36,41,4.45,58,0.64,28,61,0.3,0
Daichi Abe,"5' 11""","71""",Orthodox,27-Nov-91,http://ufcstats.com/fighter-details/5140122c3eecd307,3.8,33,4.49,56,0.33,50,0,0,0
Felipe Arantes,"5' 8""","73""",Orthodox,09-Feb-88,http://ufcstats.com/fighter-details/71002dbc1743b9a7,2.37,45,2.66,64,0.93,47,41,0.7,0
Rolando Dy,"5' 8""","69""",Orthodox,11-Aug-90,http://ufcstats.com/fighter-details/55ed59d541f8b90c,3.04,37,4.47,52,0.3,20,68,0,0
Shinsho Anzai,"5' 7""","70""",Orthodox,01-Dec-85,http://ufcstats.com/fighter-details/4665f9f909cd7214,3.23,58,3.75,45,1.83,16,75,0,0
Viviane Pereira,"5' 1""","63""",Orthodox,28-Aug-93,http://ufcstats.com/fighter-details/d50382dc0565a9e1,2.7,30,4.48,58,0.25,100,28,0.2,0
Naoki Inoue,"5' 9""","71""",Orthodox,14-Jun-97,http://ufcstats.com/fighter-details/199eb7cf6ae90294,3.67,35,3.37,60,0,0,60,2.5,0
Jenel Lausa,"5' 5""","68""",Orthodox,01-Aug-88,http://ufcstats.com/fighter-details/ec664422b22d9787,1.44,42,3.53,53,0.55,66,51,0.8,0
Melinda Fabian,"5' 6""","66""",Orthodox,25-Jun-87,http://ufcstats.com/fighter-details/8c020156779f7888,4.03,41,4,62,0,0,100,0,0
CM Punk,"6' 1""","73""",Orthodox,26-Oct-78,http://ufcstats.com/fighter-details/a8c9d16fe2a14d72,1.1,23,4.87,40,0.87,11,0,0,0
Rashad Evans,"6' 0""","75""",Orthodox,25-Sep-79,http://ufcstats.com/fighter-details/ee779c43a8926d52,2.14,37,2.42,63,2.98,44,73,0,0
Mike Santiago,"5' 10""","69""",Orthodox,28-Jul-89,http://ufcstats.com/fighter-details/bc656db347f31e19,3.44,49,3.58,36,2.66,50,53,1.1,0
Gleison Tibau,"5' 10""","71""",Southpaw,07-Oct-83,http://ufcstats.com/fighter-details/75e5fec9f72910ef,1.95,31,2.51,63,4.08,53,92,0.8,0
Mads Burnell,"5' 8""","69""",Orthodox,06-Mar-94,http://ufcstats.com/fighter-details/69f01b25dfabaf6b,1.28,41,2.71,51,3.45,47,22,0.4,0
Daniel Kelly,"6' 0""","70""",Southpaw,31-Oct-77,http://ufcstats.com/fighter-details/bdcbb976816fd256,3.62,38,4.64,61,1.86,34,78,0.3,0
Brad Scott,"6' 1""","76""",Orthodox,24-Jun-89,http://ufcstats.com/fighter-details/34e552520a934063,3.52,41,4.31,57,0.32,15,63,0.7,0
Diego Rivas,"5' 8""","69""",Orthodox,11-Nov-91,http://ufcstats.com/fighter-details/09f579be4520394a,1.37,40,2.14,52,1.79,60,64,0.9,0
Henry Briones,"5' 8""","69""",Orthodox,22-Oct-80,http://ufcstats.com/fighter-details/01fcef7e3d051722,3.47,42,4.68,53,0,0,52,0.6,0
Felipe Silva,"6' 0""","77""",Orthodox,08-May-84,http://ufcstats.com/fighter-details/1b38a2b897f6209c,5.4,50,1.8,59,1,100,71,0,0
Lyoto Machida,"6' 1""","74""",Southpaw,30-May-78,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6,2.59,53,1.57,61,1.21,65,75,0.4,0
Vitor Belfort,"6' 0""","74""",Southpaw,01-Apr-77,http://ufcstats.com/fighter-details/0ee783aa00e468f0,1.59,46,2.83,50,1.02,60,53,0.6,0
Alberto Mina,"6' 0""","77""",Orthodox,02-May-82,http://ufcstats.com/fighter-details/4b1d46a1b5c0fd11,3.23,38,3.7,47,1.85,20,50,0,0
James Bochnovic,"6' 4""","81""",Orthodox,13-Feb-89,http://ufcstats.com/fighter-details/984d15d5dc7bfcf9,0.65,26,3.64,21,0,0,0,0,0
Luan Chagas,"6' 0""","75""",Orthodox,17-Jun-93,http://ufcstats.com/fighter-details/9ccf8371fd80d45d,4.16,47,3.19,62,0.32,12,85,0.3,0
Patrick Williams,"5' 8""","73""",Orthodox,07-Sep-81,http://ufcstats.com/fighter-details/39330403ad27c2bb,4.12,51,4.12,52,2.71,41,100,0.5,0
Bec Rawlings,"5' 6""","64""",Orthodox,11-Feb-89,http://ufcstats.com/fighter-details/907e60fd13407e1e,4.48,42,5.66,57,0.71,40,68,0.4,0
Tom Duquesnoy,"5' 7""","68""",Orthodox,21-Jun-93,http://ufcstats.com/fighter-details/e979c76341f19b22,3.83,45,5.3,62,0.42,25,46,0,0
Oliver Enkamp,"6' 0""","77""",Switch,10-Aug-91,http://ufcstats.com/fighter-details/330bafba312face4,2.38,36,3.55,37,0.87,16,0,0,0
Dmitry Sosnovskiy,"6' 3""","77""",Orthodox,06-Jul-89,http://ufcstats.com/fighter-details/85ff1b9471d35238,2.95,70,2.53,35,3.16,66,100,3.2,0
Mark Godbeer,"6' 4""","77""",Orthodox,22-Nov-83,http://ufcstats.com/fighter-details/ad56b3f00ca38dfd,3.97,53,3.3,54,0,0,28,0,0
Mike Pyle,"6' 0""","74""",Orthodox,18-Sep-75,http://ufcstats.com/fighter-details/f5990c11974d8e9c,2.74,45,2.84,60,1.8,35,70,1.5,0
Russell Doane,"5' 7""","70""",Orthodox,13-Aug-86,http://ufcstats.com/fighter-details/f50d95223751e6ca,1.75,40,1.68,53,2.11,45,52,0.8,0
Albert Morales,"5' 9""","72""",Orthodox,25-May-91,http://ufcstats.com/fighter-details/544d7460b3e44393,3.81,35,3.96,56,0.91,35,70,0.2,0
Brian Camozzi,"6' 2""","78""",Orthodox,24-Jun-91,http://ufcstats.com/fighter-details/1999ffb5cebc314f,3.15,26,6.39,54,0,0,0,0.7,0
Joshua Burkman,"5' 10""","72""",Orthodox,10-Apr-80,http://ufcstats.com/fighter-details/6da99156486ed6c2,2.69,43,3.13,51,2.53,36,72,0.3,0
Cyril Asker,"6' 0""","74""",Orthodox,24-Dec-85,http://ufcstats.com/fighter-details/9be6020024133293,3.35,39,5.82,35,4.41,62,100,0.9,0
Damien Brown,"5' 10""","68""",Orthodox,25-Dec-84,http://ufcstats.com/fighter-details/d024ed963e8bf7ea,3.66,38,4.86,50,0.68,27,53,0.7,0
Rob Wilkinson,"6' 3""","80""",Orthodox,22-Feb-92,http://ufcstats.com/fighter-details/826475cc758e60e6,2.74,50,5.66,39,4.47,25,0,0,0
Jeremy Kennedy,"5' 11""","71""",Orthodox,16-Sep-92,http://ufcstats.com/fighter-details/68f6e96c5fa6e044,2.22,46,2.58,47,5.73,52,66,0,0
Timothy Johnson,"6' 3""","77""",Southpaw,13-Mar-85,http://ufcstats.com/fighter-details/cc900af167fbedfd,3.43,45,3.08,44,1.09,24,69,0,0
Maia Stevenson,"5' 4""","62""",Orthodox,19-Mar-82,http://ufcstats.com/fighter-details/2fee10d5cf86bfca,1.57,54,3.13,33,3.91,100,50,0,0
Joe Soto,"5' 6""","65""",Orthodox,22-Mar-87,http://ufcstats.com/fighter-details/a4e85a58fbce64b2,3.36,41,5.37,67,0.85,21,70,1.9,0
Godofredo Pepey,"5' 7""","73""",Orthodox,02-Jul-87,http://ufcstats.com/fighter-details/fa37628269132d1a,2.32,38,3.23,47,0.37,7,35,1.5,0
Juliana Lima,"5' 5""","65""",Orthodox,15-Mar-82,http://ufcstats.com/fighter-details/75a6a390fd5dca46,1.94,44,2.11,55,1.72,31,70,0,0
Francimar Barroso,"6' 1""","75""",Orthodox,28-Feb-80,http://ufcstats.com/fighter-details/b69f24c500d783e7,2.77,52,3.07,59,2.22,24,83,0,0
Sabah Homasi,"6' 0""","72""",Orthodox,19-Oct-88,http://ufcstats.com/fighter-details/71f048adbfed5b49,4.98,48,6.91,47,2.8,50,66,0,0
Galore Bofando,"5' 11""","72""",Switch,22-May-82,http://ufcstats.com/fighter-details/8a56ea383fd26e52,3.63,45,3.63,54,2.37,100,50,0,0
Abel Trujillo,"5' 8""","70""",Orthodox,18-Sep-83,http://ufcstats.com/fighter-details/e14b5aa06eea9653,2.65,41,2.31,59,2.18,45,40,0.4,0
Oluwale Bamgbose,"5' 11""","78""",Switch,04-Aug-87,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,2.45,48,2.7,55,0.94,33,37,0,0
Erick Silva,"6' 0""","74""",Orthodox,21-Jun-84,http://ufcstats.com/fighter-details/5866fc86183a9fb8,2.5,48,4.18,49,0.85,35,56,1.4,0
Carls John De Tomas,"5' 5""","71""",Southpaw,28-Aug-96,http://ufcstats.com/fighter-details/2a4200ead401a9ce,1.74,37,3.93,44,1.37,33,66,0,0
Antonio Braga Neto,"6' 3""","77""",Orthodox,29-Oct-87,http://ufcstats.com/fighter-details/fae67903c4fe636b,1.36,33,3.92,45,3.07,37,0,0.5,0
Angela Magana,"5' 1""","65""",Orthodox,02-Aug-83,http://ufcstats.com/fighter-details/bd878a638e0e3be3,1.53,28,4.92,42,0.4,25,28,0.4,0
DeAnna Bennett,"5' 4""","68""",Orthodox,18-Nov-84,http://ufcstats.com/fighter-details/404ecb2700844072,3.13,58,3.27,58,0,0,0,1,0
Christina Marks,"5' 7""","69""",Orthodox,08-Nov-85,http://ufcstats.com/fighter-details/c7be22a47a58365a,5,58,3,64,7.5,100,0,0,0
Ryan Janes,"6' 3""","76""",Orthodox,22-Aug-81,http://ufcstats.com/fighter-details/b59037262c8fe060,7.69,48,5.53,59,0.35,100,58,0,0
Karine Gevorgyan,"5' 4""","63""",,09-Mar-89,http://ufcstats.com/fighter-details/2db0c114414d4f06,1.2,20,1.8,76,0,0,0,0,0
Ariel Beck,"5' 6""","66""",Southpaw,16-Sep-90,http://ufcstats.com/fighter-details/b96939f2b8d88e82,4.44,34,4.31,64,0,0,0,0,0
Michael Bisping,"6' 1""","75""",Orthodox,28-Feb-79,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2,4.33,38,2.71,65,1.05,43,63,0.3,0
Wang Guan,"5' 9""","71""",Orthodox,14-Mar-86,http://ufcstats.com/fighter-details/dd12382f28296f7b,4.73,43,3.27,60,0,0,0,0,0
Bobby Nash,"6' 0""","74""",Orthodox,26-Mar-90,http://ufcstats.com/fighter-details/7dfb56f24fe5ddea,3.42,37,3.95,51,2.37,33,100,1.6,0
Kailin Curran,"5' 4""","65""",Orthodox,11-Apr-91,http://ufcstats.com/fighter-details/05b43e0ead3df345,3.89,43,4.75,53,2,57,61,0.6,0
Bharat Kandare,"5' 7""","72""",Orthodox,20-Jun-87,http://ufcstats.com/fighter-details/efd2b3e9bb7965a4,0.7,10,1.88,72,0,0,0,0,0
Bojan Velickovic,"6' 0""","76""",Southpaw,18-Dec-88,http://ufcstats.com/fighter-details/fcce75a25c14a804,2.18,34,2.31,57,0.67,25,55,0.5,0
Ashkan Mokhtarian,"5' 6""","67""",Southpaw,15-Sep-85,http://ufcstats.com/fighter-details/e9bc5748e6a76bb6,1.95,43,3.66,43,0.54,16,33,0,0
Will Brooks,"5' 10""","72""",Orthodox,08-Oct-86,http://ufcstats.com/fighter-details/b6e6c3b1dcaae0a1,4.26,59,2.54,56,2.08,51,82,0.3,0
Anthony Hamilton,"6' 5""","76""",Orthodox,14-Apr-80,http://ufcstats.com/fighter-details/c727c7d31c50c4cf,3.91,65,3.02,45,2.62,42,78,0,0
Nate Marquardt,"6' 0""","74""",Orthodox,20-Apr-79,http://ufcstats.com/fighter-details/a8e6a69796280f17,2.71,49,2.32,55,1.87,51,70,0.8,0
Michel Quinones,"5' 10""","73""",Orthodox,22-Dec-84,http://ufcstats.com/fighter-details/5e84a859c6a82288,2.91,29,5.98,48,0,0,36,0,0
Marcel Fortuna,"6' 1""","74""",Orthodox,22-Oct-85,http://ufcstats.com/fighter-details/d761b3766e38c5db,3.83,46,4.52,64,0.45,8,75,0.5,0
Georges St-Pierre,"5' 11""","76""",Orthodox,19-May-81,http://ufcstats.com/fighter-details/6506c1d34da9c013,3.78,53,1.4,72,4.16,74,83,1.1,0
Johny Hendricks,"5' 9""","69""",Southpaw,12-Sep-83,http://ufcstats.com/fighter-details/0941df56f6ac954b,3.49,45,3.99,53,3.83,46,63,0.3,0
Hacran Dias,"5' 8""","69""",Orthodox,16-Jun-84,http://ufcstats.com/fighter-details/ed209f6618c82e41,2.08,41,3.31,55,2.5,39,76,0.5,0
Christian Colombo,"6' 5""",--,Orthodox,01-Jul-80,http://ufcstats.com/fighter-details/9123c54d0a2b72dd,2.76,44,4.02,42,0,0,33,0,0
Jonathan Wilson,"6' 2""","75""",Southpaw,17-Jul-87,http://ufcstats.com/fighter-details/cd01f0b768a32475,2.92,48,5.65,56,0.37,100,80,0,0
Marcin Held,"5' 9""","71""",Orthodox,18-Jan-92,http://ufcstats.com/fighter-details/bf43fed8f29e1671,1.41,34,2.02,47,2.46,46,37,1.3,0
Pearl Gonzalez,"5' 4""",--,Orthodox,12-Aug-86,http://ufcstats.com/fighter-details/1ebdcb7488d0ebee,2.23,37,4.07,57,1.04,11,0,0.5,0
Marco Beltran,"5' 8""","69""",Orthodox,18-May-86,http://ufcstats.com/fighter-details/ec71a892fada28c7,2.07,37,1.93,63,0.7,50,46,0.2,0
Takanori Gomi,"5' 7""","70""",Southpaw,22-Sep-78,http://ufcstats.com/fighter-details/3be081c29bf734d9,3.81,41,3.52,60,1.23,65,63,0.8,0
Henrique da Silva,"6' 3""","76""",Orthodox,01-Sep-89,http://ufcstats.com/fighter-details/b0bd0c5425668b8f,3.89,60,5.28,40,0.25,14,22,0.2,0
Chan-Mi Jeon,"5' 5""",--,Orthodox,28-Aug-97,http://ufcstats.com/fighter-details/24174a3f44ce8e03,6.23,31,7.77,55,0,0,0,0,0
Hyun Gyu Lim,"6' 3""","77""",Orthodox,16-Jan-85,http://ufcstats.com/fighter-details/203c957eac95dd87,4.45,41,5.07,51,0.23,100,73,0.2,0
Azunna Anyanwu,"6' 1""",--,Orthodox,05-Aug-81,http://ufcstats.com/fighter-details/78d48d3874dacafd,2.47,42,2.47,69,0.65,100,0,0,0
Jason Saggo,"5' 11""","71""",Orthodox,23-Nov-85,http://ufcstats.com/fighter-details/4ac1ecf8ce59ef23,2.5,39,2.94,52,2.33,40,23,0,0
Mitch Clarke,"5' 10""","73""",Orthodox,24-Nov-85,http://ufcstats.com/fighter-details/c76ec2bc3a57666a,2.35,34,3.27,47,0.64,15,50,0.4,0
Adriano Martins,"5' 10""","72""",Southpaw,16-Dec-82,http://ufcstats.com/fighter-details/7dcf06c1967801c1,1.8,38,2.14,65,0.83,80,81,0.4,0
Abdul-Kerim Edilov,"6' 2""",--,Orthodox,25-Nov-91,http://ufcstats.com/fighter-details/37e03538c960bac6,10.22,61,0.13,92,3.98,100,0,2,0
Bojan Mihajlovic,"5' 11""","73""",Orthodox,30-Mar-80,http://ufcstats.com/fighter-details/d6285cba1d1052e0,1.23,35,5.95,47,0,0,33,0,0
Andrew Holbrook,"5' 11""","70""",Southpaw,06-Feb-86,http://ufcstats.com/fighter-details/66ab58d0b3783607,2.2,49,3,54,0.85,18,10,2.1,0
Hector Sandoval,"5' 2""","64""",Orthodox,19-Jul-86,http://ufcstats.com/fighter-details/449c890bd90f3374,3.31,52,2.33,65,3.49,25,71,1.4,0
Rafael Natal,"6' 0""","77""",Orthodox,25-Dec-82,http://ufcstats.com/fighter-details/0dba4df5f34d5ff0,3.1,47,2.48,57,2.55,34,77,0.5,0
Damian Grabowski,"6' 1""","75""",Orthodox,12-May-80,http://ufcstats.com/fighter-details/3f11b5d4bd76a6d9,4,36,7.65,51,0,0,0,0,0
