name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Waldo Cortes-Acosta,"6' 4""","78""",Orthodox,03-Oct-91,http://ufcstats.com/fighter-details/fc08099550072fe4,5.64,48,3.6,52,0.55,60,60,0.2,0
Robelis Despaigne,"6' 7""","84""",Orthodox,09-Sep-88,http://ufcstats.com/fighter-details/140567899d98978a,2.16,54,3.53,49,0,0,25,0,0
Chase Hooper,"6' 1""","74""",Southpaw,13-Sep-99,http://ufcstats.com/fighter-details/971246648e162f0d,5.08,52,3.33,36,1.45,24,55,2.3,0
Viacheslav Borshchev,"5' 11""","69""",Orthodox,08-Jan-92,http://ufcstats.com/fighter-details/19c591115a58982c,5.18,58,4.49,54,0,0,35,0,0
Esteban Ribovics,"5' 10""","69""",Orthodox,27-Apr-96,http://ufcstats.com/fighter-details/323d4ca260dfa0ba,6.2,52,3.49,53,0.93,66,60,0.5,0
Terrance McKinney,"5' 10""","73""",Switch,15-Sep-94,http://ufcstats.com/fighter-details/809bd1a871491508,4.53,50,2.63,45,3.45,36,85,1,0
Tabatha Ricci,"5' 1""","61""",Orthodox,21-Feb-95,http://ufcstats.com/fighter-details/d25240135aee03e5,4.28,37,4.94,60,2.99,35,77,0.2,0
Tecia Pennington,"5' 1""","60""",Orthodox,16-Aug-89,http://ufcstats.com/fighter-details/31ef8b67e13495b3,4.78,47,3.59,61,0.61,14,65,0.1,0
Trey Waters,"6' 5""","77""",Orthodox,21-Feb-95,http://ufcstats.com/fighter-details/31dbfbe4e7a6727c,6.43,44,5.61,56,0.44,33,85,0.9,0
Billy Ray Goff,"5' 10""","72""",Switch,18-Jun-98,http://ufcstats.com/fighter-details/fa07345cc9db5cc9,8.56,46,5.71,59,2.01,17,100,0,0
Charles Johnson,"5' 9""","70""",Switch,10-Jan-91,http://ufcstats.com/fighter-details/814e5233e2acf2ee,4.48,52,3.16,59,0.41,23,67,0.6,0
Jake Hadley,"5' 7""","70""",Southpaw,03-Aug-96,http://ufcstats.com/fighter-details/60a42bf82447c919,3.36,42,3.56,60,0.24,6,35,1.7,0
Veronica Hardy,"5' 4""","64""",Southpaw,30-Oct-95,http://ufcstats.com/fighter-details/4798e823ada58fe9,3.13,45,3.75,47,1.08,41,60,0.3,0
JJ Aldrich,"5' 5""","67""",Southpaw,29-Sep-92,http://ufcstats.com/fighter-details/6fd953151d981979,3.88,46,4.38,60,0.66,23,66,0,0
Alexandre Pantoja,"5' 5""","67""",Orthodox,16-Apr-90,http://ufcstats.com/fighter-details/a0f0004aadf10b71,4.41,49,3.97,50,2.61,47,68,0.8,0
Steve Erceg,"5' 8""","68""",Orthodox,27-Jul-95,http://ufcstats.com/fighter-details/32ab52e5de93092d,4.52,49,4.2,52,1.24,26,60,0.5,0
Jose Aldo,"5' 7""","70""",Orthodox,09-Sep-86,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,3.63,46,3.73,60,0.51,53,91,0.1,0
Jonathan Martinez,"5' 8""","70""",Southpaw,20-Apr-94,http://ufcstats.com/fighter-details/f2477cf43c4975cc,4.54,49,3.87,57,0.41,35,68,0.1,0
Anthony Smith,"6' 4""","76""",Orthodox,26-Jul-88,http://ufcstats.com/fighter-details/d4c9dcd330403612,3.23,48,4.47,46,0.49,26,49,0.7,0
Vitor Petrino,"6' 2""","77""",Orthodox,28-Aug-97,http://ufcstats.com/fighter-details/71171fc96445bf65,2.82,45,2.58,45,3.98,66,71,0.8,0
Michel Pereira,"6' 1""","73""",Orthodox,06-Oct-93,http://ufcstats.com/fighter-details/595db60957de51d3,5.16,54,3.7,58,1.53,55,94,0.8,0
Ihor Potieria,"6' 3""","75""",Southpaw,29-May-96,http://ufcstats.com/fighter-details/260bd4cef10b033f,5.13,50,5.04,51,0,0,57,0,0
